stock_id,name,per_latest,per_120d_high,per_120d_low,per_latest_is_prev,valuation_updated_at,valuation_status,valuation_reason,finmind_token_status,finmind_token_source,finmind_token_masked,finmind_user_count,finmind_api_request_limit,finmind_remain,finmind_usage_checked_at
5443,均豪,47.14,57.89,34.34,False,2026-09-25 14:41:09,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:41:09
5475,德宏,140.31,1391.3,0.0,False,2026-09-25 14:41:09,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:41:10
5536,聖暉*,22.54,39.86,20.41,False,2026-09-25 14:41:10,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:41:11
5871,中租-KY,9.89,11.56,9.89,False,2026-09-25 14:41:11,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:41:11
5876,上海商銀,13.83,14.92,12.12,False,2026-09-25 14:41:11,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:41:11
5880,合庫金,17.29,19.71,16.21,False,2026-09-25 14:41:11,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:41:12
6005,群益證,5.95,12.58,5.73,False,2026-09-25 14:41:12,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:41:13
6139,亞翔,15.17,26.51,14.02,False,2026-09-25 14:41:13,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:41:13
6182,合晶,523.91,4737.5,343.33,False,2026-09-25 14:41:13,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:41:14
6187,萬潤,61.95,89.91,54.43,False,2026-09-25 14:41:14,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:41:14
6196,帆宣,25.59,37.58,19.73,False,2026-09-25 14:41:14,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,2433,6000,3567,2026-09-25 14:41:15
